circuit_id,config_group,n_qubits,depth,two_qubit_ratio_target,zero_state_prob,robust_fidelity,expressibility_score,expressibility_entropy
0,q5_d5_r10,5,5,0.1,0.7109375,0.7109375,,
1,q5_d5_r30,5,5,0.3,0.65625,0.65625,,
2,q5_d5_r50,5,5,0.5,0.921875,0.921875,,
3,q5_d5_r70,5,5,0.7,0.9296875,0.9296875,,
4,q5_d5_r90,5,5,0.9,0.90625,0.90625,,
5,q5_d6_r10,5,6,0.1,0.75,0.75,,
6,q5_d6_r30,5,6,0.3,0.71875,0.71875,,
7,q5_d6_r50,5,6,0.5,0.625,0.625,,
8,q5_d6_r70,5,6,0.7,0.6640625,0.6640625,,
9,q5_d6_r90,5,6,0.9,0.90625,0.90625,,
10,q5_d7_r10,5,7,0.1,0.9609375,0.9609375,,
11,q5_d7_r30,5,7,0.3,0.8828125,0.8828125,,
12,q5_d7_r50,5,7,0.5,0.875,0.875,,
13,q5_d7_r70,5,7,0.7,0.8984375,0.8984375,,
14,q5_d7_r90,5,7,0.9,0.9609375,0.9609375,,
15,q5_d8_r10,5,8,0.1,0.9609375,0.9609375,,
16,q5_d8_r30,5,8,0.3,0.6171875,0.6171875,,
17,q5_d8_r50,5,8,0.5,0.9296875,0.9296875,,
18,q5_d8_r70,5,8,0.7,0.9453125,0.9453125,,
19,q5_d8_r90,5,8,0.9,0.7578125,0.7578125,,
20,q5_d9_r10,5,9,0.1,0.96875,0.96875,,
21,q5_d9_r30,5,9,0.3,0.8046875,0.8046875,,
22,q5_d9_r50,5,9,0.5,0.7734375,0.7734375,,
23,q5_d9_r70,5,9,0.7,0.8828125,0.8828125,,
24,q5_d9_r90,5,9,0.9,0.90625,0.90625,,
25,q5_d10_r10,5,10,0.1,0.9609375,0.9609375,,
26,q5_d10_r30,5,10,0.3,0.9765625,0.9765625,,
27,q5_d10_r50,5,10,0.5,0.4453125,0.4453125,,
28,q5_d10_r70,5,10,0.7,0.78125,0.78125,,
29,q5_d10_r90,5,10,0.9,0.6796875,0.6796875,,
30,q5_d11_r10,5,11,0.1,0.7109375,0.7109375,,
31,q5_d11_r30,5,11,0.3,0.734375,0.734375,,
32,q5_d11_r50,5,11,0.5,0.625,0.625,,
33,q5_d11_r70,5,11,0.7,0.5390625,0.5390625,,
34,q5_d11_r90,5,11,0.9,0.609375,0.609375,,
35,q5_d12_r10,5,12,0.1,0.6484375,0.6484375,,
36,q5_d12_r30,5,12,0.3,0.90625,0.90625,,
37,q5_d12_r50,5,12,0.5,0.109375,0.109375,,
38,q5_d12_r70,5,12,0.7,0.4765625,0.4765625,,
39,q5_d12_r90,5,12,0.9,0.796875,0.796875,,
40,q5_d13_r10,5,13,0.1,0.375,0.375,,
41,q5_d13_r30,5,13,0.3,0.828125,0.828125,,
42,q5_d13_r50,5,13,0.5,0.9140625,0.9140625,,
43,q5_d13_r70,5,13,0.7,0.359375,0.359375,,
44,q5_d13_r90,5,13,0.9,0.1015625,0.1015625,,
