,,,zero_state_prob,zero_state_prob,zero_state_prob,robust_fidelity,robust_fidelity,expressibility_score,expressibility_score,expressibility_entropy,expressibility_entropy
,,,mean,std,count,mean,std,mean,std,mean,std
n_qubits,depth,two_qubit_ratio_target,,,,,,,,,
5,5,0.1,0.7109375,,1,0.7109375,,,,,
5,5,0.3,0.65625,,1,0.65625,,,,,
5,5,0.5,0.921875,,1,0.921875,,,,,
5,5,0.7,0.9296875,,1,0.9296875,,,,,
5,5,0.9,0.90625,,1,0.90625,,,,,
5,6,0.1,0.75,,1,0.75,,,,,
5,6,0.3,0.71875,,1,0.71875,,,,,
5,6,0.5,0.625,,1,0.625,,,,,
5,6,0.7,0.6640625,,1,0.6640625,,,,,
5,6,0.9,0.90625,,1,0.90625,,,,,
5,7,0.1,0.9609375,,1,0.9609375,,,,,
5,7,0.3,0.8828125,,1,0.8828125,,,,,
5,7,0.5,0.875,,1,0.875,,,,,
5,7,0.7,0.8984375,,1,0.8984375,,,,,
5,7,0.9,0.9609375,,1,0.9609375,,,,,
5,8,0.1,0.9609375,,1,0.9609375,,,,,
5,8,0.3,0.6171875,,1,0.6171875,,,,,
5,8,0.5,0.9296875,,1,0.9296875,,,,,
5,8,0.7,0.9453125,,1,0.9453125,,,,,
5,8,0.9,0.7578125,,1,0.7578125,,,,,
5,9,0.1,0.96875,,1,0.96875,,,,,
5,9,0.3,0.8046875,,1,0.8046875,,,,,
5,9,0.5,0.7734375,,1,0.7734375,,,,,
5,9,0.7,0.8828125,,1,0.8828125,,,,,
5,9,0.9,0.90625,,1,0.90625,,,,,
5,10,0.1,0.9609375,,1,0.9609375,,,,,
5,10,0.3,0.9765625,,1,0.9765625,,,,,
5,10,0.5,0.4453125,,1,0.4453125,,,,,
5,10,0.7,0.78125,,1,0.78125,,,,,
5,10,0.9,0.6796875,,1,0.6796875,,,,,
5,11,0.1,0.7109375,,1,0.7109375,,,,,
5,11,0.3,0.734375,,1,0.734375,,,,,
5,11,0.5,0.625,,1,0.625,,,,,
5,11,0.7,0.5390625,,1,0.5390625,,,,,
5,11,0.9,0.609375,,1,0.609375,,,,,
5,12,0.1,0.6484375,,1,0.6484375,,,,,
5,12,0.3,0.90625,,1,0.90625,,,,,
5,12,0.5,0.109375,,1,0.109375,,,,,
5,12,0.7,0.4765625,,1,0.4765625,,,,,
5,12,0.9,0.796875,,1,0.796875,,,,,
5,13,0.1,0.375,,1,0.375,,,,,
5,13,0.3,0.828125,,1,0.828125,,,,,
5,13,0.5,0.9140625,,1,0.9140625,,,,,
5,13,0.7,0.359375,,1,0.359375,,,,,
5,13,0.9,0.1015625,,1,0.1015625,,,,,
5,14,0.1,0.6171875,,1,0.6171875,,,,,
5,14,0.3,0.765625,,1,0.765625,,,,,
5,14,0.5,0.6328125,,1,0.6328125,,,,,
5,14,0.7,0.78125,,1,0.78125,,,,,
5,14,0.9,0.5234375,,1,0.5234375,,,,,
5,15,0.1,0.6484375,,1,0.6484375,,,,,
5,15,0.3,0.75,,1,0.75,,,,,
5,15,0.5,0.140625,,1,0.140625,,,,,
5,15,0.7,0.7109375,,1,0.7109375,,,,,
5,15,0.9,0.15625,,1,0.15625,,,,,
5,16,0.1,0.6796875,,1,0.6796875,,,,,
5,16,0.3,0.65625,,1,0.65625,,,,,
5,16,0.5,0.75,,1,0.75,,,,,
5,16,0.7,0.46875,,1,0.46875,,,,,
5,16,0.9,0.3828125,,1,0.3828125,,,,,
5,17,0.1,0.8984375,,1,0.8984375,,,,,
5,17,0.3,0.4921875,,1,0.4921875,,,,,
5,17,0.5,0.40625,,1,0.40625,,,,,
5,17,0.7,0.125,,1,0.125,,,,,
5,17,0.9,0.3046875,,1,0.3046875,,,,,
5,18,0.1,0.7578125,,1,0.7578125,,,,,
5,18,0.3,0.8515625,,1,0.8515625,,,,,
5,18,0.5,0.4453125,,1,0.4453125,,,,,
5,18,0.7,0.4375,,1,0.4375,,,,,
5,18,0.9,0.03125,,1,0.03125,,,,,
5,19,0.1,0.65625,,1,0.65625,,,,,
5,19,0.3,0.1171875,,1,0.1171875,,,,,
5,19,0.5,0.09375,,1,0.09375,,,,,
5,19,0.7,0.1015625,,1,0.1015625,,,,,
5,19,0.9,0.28125,,1,0.28125,,,,,
5,20,0.1,0.890625,,1,0.890625,,,,,
5,20,0.3,0.7109375,,1,0.7109375,,,,,
5,20,0.5,0.6171875,,1,0.6171875,,,,,
5,20,0.7,0.4296875,,1,0.4296875,,,,,
5,20,0.9,0.21875,,1,0.21875,,,,,
10,5,0.1,0.953125,,1,0.9921875,,,,,
10,5,0.3,0.8125,,1,0.953125,,,,,
10,5,0.5,0.796875,,1,0.9296875,,,,,
10,5,0.7,0.703125,,1,0.890625,,,,,
10,5,0.9,0.7265625,,1,0.9453125,,,,,
10,6,0.1,0.4609375,,1,0.875,,,,,
10,6,0.3,0.84375,,1,0.96875,,,,,
10,6,0.5,0.7890625,,1,0.9296875,,,,,
10,6,0.7,0.765625,,1,0.9140625,,,,,
10,6,0.9,0.734375,,1,0.9296875,,,,,
10,7,0.1,0.8203125,,1,0.9765625,,,,,
10,7,0.3,0.3125,,1,0.8515625,,,,,
10,7,0.5,0.625,,1,0.8984375,,,,,
10,7,0.7,0.59375,,1,0.90625,,,,,
10,7,0.9,0.34375,,1,0.6953125,,,,,
10,8,0.1,0.9453125,,1,0.9921875,,,,,
10,8,0.3,0.125,,1,0.578125,,,,,
10,8,0.5,0.4140625,,1,0.765625,,,,,
10,8,0.7,0.0234375,,1,0.171875,,,,,
10,8,0.9,0.2890625,,1,0.578125,,,,,
10,9,0.1,0.8203125,,1,0.9609375,,,,,
10,9,0.3,0.7109375,,1,0.8671875,,,,,
10,9,0.5,0.6015625,,1,0.890625,,,,,
10,9,0.7,0.46875,,1,0.828125,,,,,
10,9,0.9,0.03125,,1,0.0859375,,,,,
10,10,0.1,0.9453125,,1,1.0,,,,,
10,10,0.3,0.6484375,,1,0.765625,,,,,
10,10,0.5,0.6015625,,1,0.8515625,,,,,
10,10,0.7,0.1171875,,1,0.46875,,,,,
10,10,0.9,0.2421875,,1,0.5234375,,,,,
10,11,0.1,0.515625,,1,0.875,,,,,
10,11,0.3,0.140625,,1,0.3515625,,,,,
10,11,0.5,0.0625,,1,0.265625,,,,,
10,11,0.7,0.0,,1,0.125,,,,,
10,11,0.9,0.0078125,,1,0.1015625,,,,,
10,12,0.1,0.828125,,1,0.953125,,,,,
10,12,0.3,0.1640625,,1,0.4140625,,,,,
10,12,0.5,0.0078125,,1,0.0546875,,,,,
10,12,0.7,0.1640625,,1,0.4921875,,,,,
10,12,0.9,0.1484375,,1,0.546875,,,,,
10,13,0.1,0.5546875,,1,0.890625,,,,,
10,13,0.3,0.0703125,,1,0.203125,,,,,
10,13,0.5,0.203125,,1,0.3828125,,,,,
10,13,0.7,0.0390625,,1,0.0625,,,,,
10,13,0.9,0.015625,,1,0.0703125,,,,,
10,14,0.1,0.203125,,1,0.515625,,,,,
10,14,0.3,0.0859375,,1,0.2890625,,,,,
10,14,0.5,0.265625,,1,0.4296875,,,,,
10,14,0.7,0.03125,,1,0.1640625,,,,,
10,14,0.9,0.15625,,1,0.34375,,,,,
10,15,0.1,0.9453125,,1,0.9765625,,,,,
10,15,0.3,0.125,,1,0.40625,,,,,
10,15,0.5,0.0,,1,0.015625,,,,,
10,15,0.7,0.0,,1,0.0,,,,,
10,15,0.9,0.03125,,1,0.140625,,,,,
10,16,0.1,0.171875,,1,0.390625,,,,,
10,16,0.3,0.2578125,,1,0.5625,,,,,
10,16,0.5,0.0078125,,1,0.0390625,,,,,
10,16,0.7,0.0,,1,0.0234375,,,,,
10,16,0.9,0.0390625,,1,0.1953125,,,,,
10,17,0.1,0.546875,,1,0.796875,,,,,
10,17,0.3,0.0078125,,1,0.046875,,,,,
10,17,0.5,0.0,,1,0.0078125,,,,,
10,17,0.7,0.0,,1,0.0,,,,,
10,17,0.9,0.0,,1,0.0234375,,,,,
10,18,0.1,0.3046875,,1,0.671875,,,,,
10,18,0.3,0.0078125,,1,0.0546875,,,,,
10,18,0.5,0.0078125,,1,0.078125,,,,,
10,18,0.7,0.0390625,,1,0.328125,,,,,
10,18,0.9,0.0,,1,0.015625,,,,,
10,19,0.1,0.4140625,,1,0.7109375,,,,,
10,19,0.3,0.0,,1,0.015625,,,,,
10,19,0.5,0.015625,,1,0.046875,,,,,
10,19,0.7,0.0,,1,0.015625,,,,,
10,19,0.9,0.0,,1,0.0078125,,,,,
10,20,0.1,0.6484375,,1,0.9296875,,,,,
10,20,0.3,0.0,,1,0.0078125,,,,,
10,20,0.5,0.015625,,1,0.1015625,,,,,
10,20,0.7,0.0,,1,0.03125,,,,,
10,20,0.9,0.015625,,1,0.0546875,,,,,
15,5,0.1,0.4296875,,1,0.953125,,,,,
15,5,0.3,0.4921875,,1,0.9921875,,,,,
15,5,0.5,0.6875,,1,0.984375,,,,,
15,5,0.7,0.4609375,,1,0.953125,,,,,
15,5,0.9,0.234375,,1,0.8046875,,,,,
15,6,0.1,0.9140625,,1,1.0,,,,,
15,6,0.3,0.765625,,1,0.9921875,,,,,
15,6,0.5,0.3984375,,1,0.9609375,,,,,
15,6,0.7,0.0703125,,1,0.5078125,,,,,
15,6,0.9,0.4921875,,1,0.9453125,,,,,
15,7,0.1,0.75,,1,0.96875,,,,,
15,7,0.3,0.421875,,1,0.96875,,,,,
15,7,0.5,0.40625,,1,0.890625,,,,,
15,7,0.7,0.03125,,1,0.3203125,,,,,
15,7,0.9,0.0078125,,1,0.109375,,,,,
15,8,0.1,0.7734375,,1,1.0,,,,,
15,8,0.3,0.59375,,1,0.9453125,,,,,
15,8,0.5,0.0,,1,0.046875,,,,,
15,8,0.7,0.078125,,1,0.4765625,,,,,
15,8,0.9,0.0234375,,1,0.3515625,,,,,
15,9,0.1,0.7109375,,1,0.9765625,,,,,
15,9,0.3,0.1640625,,1,0.734375,,,,,
15,9,0.5,0.03125,,1,0.359375,,,,,
15,9,0.7,0.0,,1,0.0234375,,,,,
15,9,0.9,0.0,,1,0.1015625,,,,,
15,10,0.1,0.8828125,,1,0.9921875,,,,,
15,10,0.3,0.5390625,,1,0.953125,,,,,
15,10,0.5,0.0234375,,1,0.1875,,,,,
15,10,0.7,0.0,,1,0.046875,,,,,
15,10,0.9,0.0,,1,0.046875,,,,,
15,11,0.1,0.7421875,,1,0.96875,,,,,
15,11,0.3,0.03125,,1,0.359375,,,,,
15,11,0.5,0.0078125,,1,0.1015625,,,,,
